Unnamed: 0,Symbol,Name,Company is Active,Company Founded Date,Country of Primary Listing Iso3,CUSIP,Date Of First Trade,Entity Country HQ,Entity Credit Parent,NACE,Exchange Name (FS),FE Ticker,ISIN,Primary Equity Listing,Proper Name,Public Company,Region Ticker,Sec is Primary Issue,Sec Type,SEDOL,NACE_letter,Report,NACE_lvl_3
1728,INE054C01015,Waterbase Limited,1,1987.0,IND,Y8799W118,19990215.0,IND,05JTBN-E,3.21,BSE INDIA,523660-IN,INE054C01015,694229,Waterbase Limited,1.0,523660-IN,1,SHARE,6942292,A,Waterbase Limited2.pdf,03.2
1730,SG1BE8000008,Qian Hu Corporation Limited,1,1998.0,SGP,Y2772H156,20001108.0,SGP,@NA,3.21,SINGAPORE,BCV-SG,SG1BE8000008,BYV9SF,Qian Hu Corporation Limited,1.0,BCV-SG,1,SHARE,BYV9SF4,A,Qian Hu Corporation Limited1.pdf,03.2
1735,NO0010892094,Salmon Evolution ASA,1,2020.0,NOR,R7445F105,20200918.0,NOR,0MN9N4-E,3.21,OSLO,SALME-NO,NO0010892094,BMGWLL,Salmon Evolution ASA,1.0,SALME-NO,1,SHARE,BMGWLL1,A,Salmon Evolution ASA1.pdf,03.2
1737,LK0313N00003,Malwatte Valley Plantations Plc,1,1992.0,LKA,Y5757K102,20000726.0,LKA,081QN7-E,1.61,COLOMBO,MAL.N0000-LK,LK0313N00003,624316,Malwatte Valley Plantations PLC,1.0,MAL.N0000-LK,1,SHARE,6243166,A,Malwatte Valley Plantations Plc1.pdf,01.6
1740,GB0002074580,Genus plc,1,1994.0,GBR,G3827X105,19980130.0,GBR,05JYQL-E,1.62,LONDON,GNS-GB,GB0002074580,020745,Genus plc,1.0,GNS-GB,1,SHARE,0207458,A,Genus plc1.pdf,01.6
1747,GB0000365774,Anglo-Eastern Plantations Plc,1,1985.0,GBR,G03780106,19850517.0,GBR,05JBQG-E,1.61,LONDON,AEP-GB,GB0000365774,003657,Anglo-Eastern Plantations Plc,1.0,AEP-GB,1,SHARE,0036577,A,Anglo-Eastern Plantations Plc1.pdf,01.6
1759,MYL3034OO005,Hap Seng Consolidated Bhd.,1,1975.0,MYS,Y6579W100,19850813.0,MYS,05HZXV-E,1.61,MALAYSIA,3034-MY,MYL3034OO005,629774,Hap Seng Consolidated Bhd.,1.0,3034-MY,1,SHARE,6297743,A,Hap Seng Consolidated Bhd.3.pdf,01.6
1760,CA9411881043,"Water Ways Technologies, Inc.",1,2007.0,CAN,941188104,20210617.0,CAN,@NA,1.61,US OTC,@NA,CA9411881043,BJX69G,"Water Ways Technologies, Inc.",1.0,WWTIF-US,0,SHARE,BP4W0N9,A,"Water Ways Technologies, Inc.3.pdf",01.6
1764,ID1000160302,PT Triputra Agro Persada Tbk,1,2005.0,IDN,Y897CD100,20210412.0,IDN,06T3QF-E,1.61,INDONESIA,TAPG-ID,ID1000160302,BNVTTV,PT Triputra Agro Persada Tbk,1.0,TAPG-ID,1,SHARE,BNVTTV0,A,PT Triputra Agro Persada Tbk1.pdf,01.6
1765,CL0001717116,Compania Pesquera Camanchaca S.A.,1,1963.0,CHL,P3090A105,20101201.0,CHL,05ZBJJ-E,3.11,SANTIAGO,CAMANCHACA-CL,CL0001717116,B3NDYP,Compania Pesquera Camanchaca S.A.,1.0,CAMANCHACA-CL,1,SHARE,B3NDYP9,A,Compania Pesquera Camanchaca S.A.2.pdf,03.1
